idx, tickerID, time, open, high, low, close, volume, wap, count, green, median
300.0, 1000.0, 1538063010.0, 169.95, 169.95, 169.92, 169.94, 24.0, 169.94, 10.0, 0, 169.93
301.0, 1000.0, 1538063015.0, 169.95, 169.97, 169.94, 169.97, 54.0, 169.95, 28.0, 1, 169.93
302.0, 1000.0, 1538063020.0, 169.96, 169.96, 169.92, 169.93, 116.0, 169.93, 41.0, 0, 169.93
303.0, 1000.0, 1538063025.0, 169.93, 169.94, 169.9, 169.92, 66.0, 169.91, 29.0, 0, 169.93
304.0, 1000.0, 1538063030.0, 169.94, 169.97, 169.93, 169.96, 35.0, 169.95, 14.0, 1, 169.93
305.0, 1000.0, 1538063035.0, 169.96, 169.97, 169.94, 169.96, 41.0, 169.96, 22.0, 0, 169.93
306.0, 1000.0, 1538063040.0, 169.95, 169.96, 169.94, 169.96, 24.0, 169.95, 17.0, 1, 170.01
307.0, 1000.0, 1538063045.0, 169.96, 170.03, 169.95, 170.03, 469.0, 170.0, 90.0, 1, 170.01
308.0, 1000.0, 1538063050.0, 170.01, 170.03, 169.98, 170.0, 131.0, 170.0, 62.0, 0, 170.01
309.0, 1000.0, 1538063055.0, 170.0, 170.01, 170.0, 170.0, 23.0, 170.0, 14.0, 0, 170.01
310.0, 1000.0, 1538063060.0, 169.99, 170.03, 169.98, 170.03, 35.0, 170.01, 26.0, 1, 170.01
311.0, 1000.0, 1538063065.0, 170.05, 170.08, 170.05, 170.05, 54.0, 170.07, 13.0, 0, 170.01
312.0, 1000.0, 1538063070.0, 170.03, 170.03, 169.97, 170.0, 51.0, 170.0, 30.0, 0, 170.01
313.0, 1000.0, 1538063075.0, 169.99, 170.02, 169.98, 170.01, 44.0, 170.0, 19.0, 1, 170.01
314.0, 1000.0, 1538063080.0, 170.03, 170.05, 170.02, 170.05, 29.0, 170.04, 18.0, 1, 170.01
315.0, 1000.0, 1538063085.0, 170.05, 170.05, 170.02, 170.02, 27.0, 170.03, 16.0, 0, 170.01
